timestamp,ear,mar,status
1776423788.7484856,0.2607,0.4632,ALERT
1776423788.9770062,0.2661,0.4784,ALERT
1776423789.001003,0.2594,0.4581,ALERT
1776423789.0170004,0.2498,0.456,ALERT
1776423789.0344205,0.2858,0.4499,ALERT
1776423789.0478473,0.309,0.4639,ALERT
1776423789.0748498,0.2978,0.4473,ALERT
1776423789.1401622,0.2903,0.4575,ALERT
1776423789.1632051,0.2881,0.4582,ALERT
1776423789.2074125,0.3025,0.4561,ALERT
1776423789.2224708,0.2934,0.4561,ALERT
1776423789.2717748,0.2975,0.4605,ALERT
1776423789.2873425,0.3044,0.4684,ALERT
1776423789.3336112,0.3194,0.4575,ALERT
1776423789.3509905,0.309,0.4568,ALERT
1776423789.3670077,0.2978,0.4525,ALERT
1776423789.4139662,0.3053,0.4758,ALERT
1776423789.47981,0.3094,0.465,ALERT
1776423789.496182,0.3039,0.465,ALERT
1776423789.5405145,0.3,0.4673,ALERT
1776423789.5578158,0.2952,0.4585,ALERT
1776423789.6062934,0.2849,0.4583,ALERT
1776423789.6222935,0.2925,0.4511,ALERT
1776423789.6732585,0.3228,0.467,ALERT
1776423789.6882122,0.3221,0.4577,ALERT
1776423789.7490544,0.3503,0.4503,ALERT
1776423789.765331,0.3404,0.4577,ALERT
1776423789.7822547,0.3404,0.4577,ALERT
1776423789.8142562,0.3312,0.4577,ALERT
1776423789.8798053,0.33,0.4503,ALERT
1776423789.8958023,0.33,0.4583,ALERT
1776423789.9413104,0.3297,0.4503,ALERT
1776423789.9586883,0.3373,0.4488,ALERT
1776423790.0072029,0.3494,0.4505,ALERT
1776423790.023792,0.3433,0.457,ALERT
1776423790.0721784,0.3491,0.4503,ALERT
1776423790.0892208,0.3433,0.4583,ALERT
1776423790.1049087,0.3421,0.4658,ALERT
1776423790.1504588,0.3293,0.4503,ALERT
1776423790.1670277,0.3156,0.4585,ALERT
1776423790.2145557,0.333,0.4496,ALERT
1776423790.2827744,0.3405,0.4505,ALERT
1776423790.2996578,0.3405,0.4664,ALERT
1776423790.3438647,0.3361,0.4519,ALERT
1776423790.3608632,0.3295,0.4583,ALERT
1776423790.4074037,0.3551,0.4591,ALERT
1776423790.4234,0.3448,0.4522,ALERT
1776423790.4688098,0.3478,0.4612,ALERT
1776423790.486339,0.3319,0.4635,ALERT
1776423790.5033295,0.3333,0.4547,ALERT
1776423790.5523326,0.3564,0.4521,ALERT
